00:00:41.486 [XNIO-1 task-2]  OXS9I0eoQa-PN8SnayIlBw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/63d38574
00:00:41.487 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:63d38574
00:00:41.497 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
00:00:41.497 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
00:00:41.515 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
00:00:41.532 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:803c8de7-45ff-4287-8813-59c13e75e353
00:00:41.552 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"ff2c41d7","serviceName":"802e21b7-5e40-4c93-a076-ec870996","serviceDesc":"7530ca15-a60e-452c-bd73-177f71946b0f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"ff2c41d7","serviceName":"802e21b7-5e40-4c93-a076-ec870996","serviceDesc":"7530ca15-a60e-452c-bd73-177f71946b0f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
00:00:41.552 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:803c8de7-45ff-4287-8813-59c13e75e353
00:00:41.553 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"ff2c41d7","serviceName":"802e21b7-5e40-4c93-a076-ec870996","serviceDesc":"7530ca15-a60e-452c-bd73-177f71946b0f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
00:00:41.553 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG com.networknt.schema.TypeValidator debug - validate( "7530ca15-a60e-452c-bd73-177f71946b0f", {"serviceType":"swagger","serviceId":"ff2c41d7","serviceName":"802e21b7-5e40-4c93-a076-ec870996","serviceDesc":"7530ca15-a60e-452c-bd73-177f71946b0f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
00:00:41.554 [XNIO-1 task-2]  Fz9vZZZBTR2rvnsXrevHvA DEBUG com.networknt.schema.TypeValidator debug - validate( "ff2c41d7", {"serviceType":"swagger","serviceId":"ff2c41d7","serviceName":"802e21b7-5e40-4c93-a076-ec870996","serviceDesc":"7530ca15-a60e-452c-bd73-177f71946b0f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
